;Review
641;Wiltons never fails to deliver in terms of food and service. Excellent all round.
642;One of the best restaurants in London
643;I admire the profile of Wiltons where you never flirt with Italian or French tradition but boldly stick to the British, made with great competence and capacity. For instance the irresistable Bread-and-butter-pudding!
644;Wiltons is a charming, elegant restaurant with good extensive menu option. The service and staff is always excellent.
645;Endive salad came without the dressing and staff had to be reminded of this.No apology for this oversight. Also it took some time to actually get the dressing.Food was at best mediocre and seriously over pricedWe were told that we would be getting Petit Fours with our coffee. None arrived and we had to once again remind them of what was missing.There is a veneer of service and food quality but it is at best patchyBasically, I can see no reason whatsoever to pay £75 per head with no wine for what we received.Wiltons is definitely worth a miss as there are many other restaurants of it's type that charge the same but include excellent service and top quality food.
646;Had a lovely evening at Wilton's, well looked after, the food was superb and made special as it was a birthday celebration and Wilton's made it special and looked after us very well
647;Excellent as always
648;Wiltons is a welcoming restaurant with good food. I didn't find the food innovative or exciting but it was good. Great service. Lovely champagne to start with. I had a great evening with the opentable offer but I don't think it is worth paying full price for. Plenty of other more interesting restaurants in London.
649;Excellent all round experience, great game and meat suitable to the season. I had the goose and it was very good. Lived up the to  last visit in the Spring when gulls egg were on the menu.   Slick staff.
650;Wilton is one of our favourite restaurants in London.  The food is delicious and service impeccable.  This restaurant is for people who appreciate good food served by amazingly well trained personnel.  If you like traditional roasts, game and seafood this is the restaurant for you. I strongly recommend this restaurant.
651;"From start to end this was a great dinner. Faultless dinner  of traditional favourites. Service was professional but very friendly. Even got a little extra of the wonderful caramel and sea salt ice cream as ""seconds"". Yes it is pricey but you are getting excellent food as a result in an unrushed ambience -none of the ""you can only have the table for two hours"" nonsense."
652;"The warmest of welcomes, everybody friendly, comfortable seating, good acoustics, delicious food, expert sommelier with sensible suggestions, and the bill comes quickly when you ask for it.  Yes, it may cost more than average, but you if you are lucky enough to be able to dine in the best place in London; don't quibble!"
653;beautifully cooked and presented courses.  Fallow Deer was 1st class as was the fresh fruit salad.  Great range of wines.
654;A very attentive staff, wonderful service. We had the lobster bisque and oysters and sad to say it was all abit plain. For maincourse we had lobster-that was much better as the truffles we got with dessert.
655;They have excellent food, mainly fish and oysters but we oredered game and it was very good , as well.Service was very attentive and knowledgeable.
656;not inexpensive but worth every penny, really you have to write 50 characters
657;Wiltons is my favourite. Superb oysters. The rest of the menu is accomplished and never, never disappoints. We stuck with champagne because we were on a budget but really with a wine list like they have, the sky is the limit. As for the service, absolutely wonderful. It doesn't matter what you wear, they look after you like an old, treasured guest. I'd go again, and again.
658;As usual high standard food and service in this very special restaurant
659;Have wanted to dine at Wiltons for a long time and the wait was worth it.  Had a super, last-minute lunch and it lived up to all expectations.  Super staff, outstanding food and excellent ambience.  I can't fault anything from start to finish and will be back as soon as waistline permits.
660;Another classic lunch at Wiltons. Efficient, friendly service. Relaxed atmosphere and exquisite food. Faultless.
661;We went to the restaurant for dinner for a birthday celebration on the deal of 2 courses for £30 or three courses for £38 from the set menu.We were disappointed to find that the only meat option on the set menu carried a supplement of £10 per person.We were told that the main course would come with a selection of vegetables but we were not informed that there would be an additional charge for the vegetables.Given that we were choosing from a set menu an additional charge for vegetables seemed inappropriate.What began as 2 courses for £30 quickly became 2 courses for circa £45.There was no house wine on the wine list and the cheapest bottle of wine was £35.We consider that the offer of 2 courses for £30 was misleading and we left the restaurant feeling disappointed.
662;For a special treat, Wilrons was a great experience for our family. Staff very attentive without intruding, great food, historic environment, wine a little on the expensive side, but other than that it was faultless
663;"An elegant restaurant, lovely ambiance, outstanding service...albeit with prices to match.We had a lovely meal and were pleased that they were able to accommodate my husband's requirement for a gluten free meal. He enjoyed his butternut squash soup and our mains were excellent. My husband had grilled halibut; my scallops were huge and perfectly prepared.Service was flawless and they accommodated our schedule, as we had tickets for a performance after dinner.This was one of our first and certainly one of our loveliest meals in our one-week stay in London."
664;I have been at the WIlton's regularly for many years and never been disappointed. Above all the food is of first class, old-fashioned British food. The Service is of the same class and the atmosphere in the restaurant gives me only good feelings.
665;From the moment of entry Wiltons cossets you like few other restaurants. Not inexpensive but you get what you pay for: faultless service, excellent traditional and unpretentious food and a good wine choice. On the day, a 'special' of venison en croutes was outstanding, as was the cheese board afterwards. Classic.
666;Wiltons is off the beaten track but well worth finding. The food and service were excellent. The only critique  is that our booking was for 1.15pm and when ordering they had already sold out of the carvery trolly special on the set menu. An alternative meat was offered but settled for the sole which was delicious.
667;Come in off Jermyn St.  and be welcomed  warmly at Wilton's, the perfect restaurant serving excellent English food with service to match.
668;"Dover Sole Meunière was spot on. It would have been better presentation-wise if they had dressed it table side.Been dining with Wiltons since mid 80s when my father first took me; never disappointed."
669;"My husband and I went for the prix fix lunch offered though an Open Table booking - 3 courses and a Bellini for 38 GBP.  We both had the smoked salmon starter and the carvery (ham and mashed).  He selected a custard for dessert and I had the cheese plate.   The salmon was sublime - lightly smoked, delicate and delicious.  The carvery was spectacular!  Perfectly prepared gammon with a cherry compote and mashed potatoes.   Portions were large.  I was able to select 4 cheeses from a cart offering 10-15 options.  The cheese was served with an assortment of biscuits, quince and a fruit jam.  A perfect ending to a delicious meal.  The bill came to 120 GBP - the additional amount due to 2 martinis (perfectly prepared) and 2 glasses of red wine.  There was a mix up with the price of the wine - we ordered a Semillion priced at 16 GBP/glass but received a much finer wine priced at 50 GBP/glass.  When we mentioned this to the server, he honored the lower price which was a totally classy move (and a relief!)  Service was attentive, friendly and efficient.  The noise level is a bit high.  The décor very ""clubby"" English.  If you can, reserve a table in a booth - they looked a bit quieter and super special.  I got the feeling the regulars sit there.   This a British institution and not to be missed during a trip in London.  We thoroughly enjoyed ourselves!"
670;Staff are friendly, simple well cooked fish. Don't expect nouvelle cuisine! Fish cooked as it should be. It  has great atmosphere dinning as it was. Not inexpensive but the overall experience worth the price.
671;Visited Wiltons on Opentable 3 courses with glass of champagne or Bellini option £38 pp. Menu choices for all courses were good and service discretely efficient.  Our sitting was booked for 9pm on a midweek night yet the restaurant was still busy and the patrons were not mainly tourists.  Seating layout is not too intimate and booths add option for more privacy if preferred. Breads, smoked salmon starter, plaice main with veg and coffee and chocolate fondant dessert all well presented and generous portions unlike some special menus which sell short. This restaurant has a long history and still retains old style dining propriety and a deserved reputation for enjoyable cuisine. The full menu was not considered on this occasion but if dining earlier or on a special occasion would have been most inviting - albeit at a considerably higher price.  A good evening, will be back.
672;My husband and I had been travelling in Europe for over a month.  Even without a jacket and tie, which predominated, we were cordially accepted.  The service and atmosphere were exemplary.  We ordered the special of the day, which was our favourite  British meal,  of roast beef and Yorkshire pudding.  We were not disappointed, it was excellent.  I endorse this restaurant most highly.
673;"Wiltons as usual is a must for every visit to London.  I have been there many times and it was always a wonderful experience. Unfortunately this time we had got a ""hidden""table at a corner, despite having made the booking weeks before. I wanted to show my friends one of the top restaurants of London but we could see nothing !! Of course we were best dressed and well behaved but ""put aside"" probably because we made the booking from Austria and not from London (Tourist ???)When I lived in London and made the booking from there, I always got a nice table. I should have complained about the bad table but did not want to make a fuss in such a noble restaurant. The food was excellent as usual, the service as well and had we seen something of the restaurant instead of having been boxed into the booth next to the kitchen door, it would have been the highlight of our trip.  However, still a wonderful experience and best food !"
674;Excellent service from friendly and attentive staff. Blue cheese soufflé to start was amazing and the venison Wellington special was utterly outstanding. I wouldn't hesitate in returning to Wiltons again.
675;If you wanted to be treated like a second class citizen than dine at Wiltons.  They will shuttle you from one bad table to the next if you are not a part of some elite few that they deem worthy, and then serve you mediocre food at best, for more than £150 per person.This is everything that is horrid about London.
676;Very old fashioned decor gives Wilton's restaurant a bygone feel. I felt like it had an old gents club feel to it. Whist this was interesting, it was a bit stuffy and not as stylish as some other high end restaurants I've been to in London. The service and food was very good in general, except for our deserts (we both had apple and plum crumble), which were average. In summary, we enjoyed ourselves, but in rating our experience, Wilton's takes it's place behind some seriously high competition from London's other fine dining restaurants.
677;Very classy and upscale restaurant. Unique English atmosphere and ambiance. Would recommend if you want to spend money and have a special meal.
678;Service excellent, food very good, even the sole housing were fresh, fleshy and well cooked.  The ambience is in need of an upgrade, looks and feels like a gentlemens club from the 70's, everything looks tired.  The big downside, price!  48 pounds for sole goujons!   At that price they can afford to redecorate!
679;Once again Wiltons provided an outstanding meal. Service was excellent, ambience great, highly recommended. Not cheap, but food and service of this quality necpver is.
680;Feels more like a gentleman's club than a restaurant. Some younger diners might fell a bit out of place. However if you want to be spoilt over  a long, relaxed lunch with quite refined cooking this is a splendid place for those with quite deep pockets.
681;Classic service and impeccable food. Wiltons remains the top place for lunch...
682;Lovely setting, amazing history and exceptional service. It's all great but the food. Bland, mediocre and exceptionally over-priced it's hard to justify spending your dining dollar here when London as so many other exceptional spots. Give it a pass until they hire a chef.
683;Solid British food in conservative quiet at high prices
684;Had game dish grouse. Very delicious. Good service.
685;We ate early on Monday evening - the restaurant was almost empty, so lacking in a bit of atmosphere. We chose from the seasonal set menu (£30 for two courses with a glass of champagne). The main course was very good, but we needed a couple of vegetable side orders as well. But we all agreed that the desserts (granny smith apple and gooseberry crumble and trifle) were excellent.Wine a bit pricey., but all in all a very good meal.
686;"Wiltons is an Institution  where the great and good of British society have dined including Prime Ministers, politicians, royalty, film stars.  The layout of the restaurant lends itself to plotting a take over bid by CEOs or to practice some Machievellian manoeuvres if you are a politician as the tables are widely spaced and some are privatised in wood and etched glass booths.  We had a few glasses of good quality champagne   The table and glasses were beautifully set on freshly laundered table linen.  We skipped the starters.  My companion had the beef medium rare though he was almost tempted by the beef Wellington being served on the next table.  The beef was cooked to perfection accompanied by sides of cauliflower cheese and mushrooms.  I had the vegetarian option.  A delicious vegetarian tart; pastry beautifully cooked, slightly crispy accompanied with celeriac   We shared a trifle but unusually the trifle had no custard but consisted of cream and freshly cut strawberries with raspberries - not a trifle as such.   We paid £108 including service.  It was worth every penny as the service was superb, ambience; good quality ingredients in well executed dishes.  A wonderful restaurant for special occasions or to bring someone special in your life to dine"
687;We had a lovely evening. We felt exstreamly well looked after and the food was fantastic Thank you for a great evening
688;magic atmosphere, kind staff and fantastic food. we had the typical grouse and the lobster omelette. also desserts were very special and delicious
689;Whenever we go to Wilton's it feels like we are coming home. The attention and care of the staff is reminiscent of an age gone by and the personal welcome sets this restaurant apart from all other restaurants we know in London. And by the way, don't miss out on  the amazing Stilton souffle or Devonshire crab! To die for!
690;Service and people were amazing, thank you all! (special thanks to the sommelier!)
691;Food is superb, service outstanding.  But it is not cheap, although local rivals Bentley's & Green's aren't cheap either.  It's a quieter, more private venue than the other two.  I will return but likely sit at the bar for oysters.
692;This restaurant has a unique feel to it and no sense of modernity at all.  Super food, good wine list and very pleasant staff.
693;Impeccable service and very good value on the £30 set menu.  We had the slow roasted gammon with Madeira sauce , it can't be beaten.
694;What a great place to eat for a special occasion. The traditional decor added to the ambiance of the dining experience. The service was excellent, staff were attentive without being over bearing and the food was outstanding. The lemon sole fillet was one of the best fish dishes I have eaten. It was cooked perfectly and had a lovely balance of delicate flavors.  A great selection of wine and digestives to finish off a special evening.
695;A dinner for four with friends we had not seen in a while. Brilliant food, including an excellent vegetarian option, and very pleasant service. An exemplary evening.
696;Top Notch service, Top Notch food, Top Notch evening.  We opted for the fixed price menu (3 x courses £38 inc a Bellini) and each course for both of us was sublime. Great value, I can't fault Wilton's in any way. .......................I'll be back!
697;Very good oysters. A part of that, good ambience with regular food.
698;Great food and ambiance. Very attentive service when you walk into restaurant. Best oyster so far in London. As well as every day prepared trolly meat. Set menu is great value, Nono of the food you choose would disappointed you. This is our second time being there. We will definitely become a regular customers.
699;From the moment we walked into the restaurant we were treated like VIP's.  Everything was absolutely wonderful and the wait staff could not have been more accommodating.  This was a wonderful dining experience.
700;Wonderful seafood with impeccable service and excellent wine list
701;Everyting in Wiltons is always amazing!!!  __ The seasonal menu has hight quality and the prize is really good!!! The desserts are delicious!!!!  The service always great!!! And the ambience nice!!! I am gonna to come back soon!!!!
702;Great place for a celebration meal or wanting to try fine dining.
703;Wiltons is Wiltons but you don't expect to wait over an hour for the main course at 1900 on a Wednesday evening. Lots of waiting staff but no compensation for our long wait. And be prepared to spend at least £60 on a bottle of wine, which seems a little excessive, even for Mayfair.
704;"I first went to Wiltons nearly 50 years ago.  My wife was about to give birth to our first child, and my lunch guest insisted that I should take a ""care package"" from Wiltons when I visited her in hospital.  They provided a lovely box with smoked salmon sandwiches on brown bread and other goodies.  She was delighted to receive it instead of the rather bland hospital food.On the 2nd June we returned to celebrate my wife's 72nd birthday.  We were put in a bankete, which was very special, and had a wonderful meal.  The bill came to over £200, but it was well worth it for the food, the service and the ambiance.  We shall return, but only for very special occasions."
705;"We loved our old-school lunch, all timber and leather and deep carpet and silver carving trolley, and hushed tones. The set lunch deal is good value, but we didn't watch the wine prices so still paid more than we'd planned. Oysters, of course; he had the carving trolley (lamb) and I the fish; then I luxuriated in the most perfect passionfruit souffle. Could it it get any better? I didn't think so, until some complimentary petit fours that exploded in our mouths. Thank you, Wiltons, for a special part of our London holiday."
706;We had a lovely meal at Wiltons choosing from the spring set menu with 3 courses. I had the beef Wellington from the carvery trolley (£10 supplement) and it was delicious. The fillet melted in the mouth and the pastry wasn't soggy at all. In fact, all the food was wonderful and the service was very good without being intrusive. Some of the tables are quite close together but other than that, we had a very enjoyable evening.
707;A really excellent business dinner - quiet, efficient service, wonderful food. And a very nice ambiance about the restaurant.
708;Our last night In London and we wanted to end it with a great meal. At Wilton's we were not disappointed. One of the top 10 dining experiences EVER.  Fabulous oysters, And unbelievably great preparation of Dover Sole.  The service and ambience were wonderful.  Do not miss the chance to experience London dining at its best!
709;It is a long time since I have been to Wiltons which means that sadly I had forgotten just how damn good it is. I'm sure they do not need any good reviews from me but they can have one anyway. Just go if you like superb food and service. It is one of a kind.
710;Dined on Saturday which is probably a different clientele from midweek. The staff were attentive, helpful friendly and professional. The food was generally very good although my wife ordered fried Plaice and was surprised when it arrived in breadcrumbs the menu did not mention this. The fish was good, although the pile of discarded breadcrumbs on the side of the plate caused some dismay to enquiring staff. My Turbot was superb.The wine list is very comprehensive, with something to fit all pockets.The prices are high but I knew that before I went. The v.casual dress of some diners was not what I expected. I'm probably a bit conservative and it was Saturday evening.
711;We always book at Wilton's when in London.  It is so consistent and traditional.  We are from the U.S. and Wilton's  is always a pleasure!  Highest quality and superb service.
712;Shame about the wine list... Which doesn't cater for a wide range of pockets..!! Generally all very expensive which spoils the experience as the food we thought was very reasonably priced for the quality!!!
713;i had a great meal of oysters followed by kidneys. the staff were excellent and the service exemplary
714;"Classic rather than old fashioned, but clearly the kind of place which prides itself on providing excellent service and beautifully prepared food.  I'd say take your parents/future inlaws as it's the kind of place where people have polite conversations in hushed tones.  very ""grown up"" and definitely not raucous but sometimes that's exactly what you want."
715;Everytime I am in Lonon I make it a point to eat at Wiltons and I am never dissapointed.  The food and the staff are the best.  Thank you for the wonderful oysters.
716;Went here to celebrate a birthday with family. Wonderful, comfy booth. Fresh oysters shucked by a master and tasty traditional English menu. The service was very good, attentive and food/drinks arrived in timely manner. Would definitely go here again .
717;Outstanding food outstanding service love it every time I go there
718;What to say - the food, the impeccable service, the place itself?  they are all excellent and consistent, and simply do not disappoint but delight.  Again and again.
719;Our original plan was to opt for the £30 two course special. The final bill for the four of us was over £300!  Having said that we left absolutely delighted with our evening.  Immaculate food and service  and presentation that could not be faulted.  We will be back for sure.
720;Can't fault the service. The set menu is good value. Enjoy the ambiance.
721;Wilton's remains a little expensive but the food is consistently excellent. The staff went out of their way to be friendly and they happily rearranged a table for a down-sized group. An excellent venue for either business or personal entertaining. 8/10.
722;"I always used to tell people that the waiters at Wilton's were the best in London. They would stand quietly in the dining area and never approach you. You could attract their attention with the slighted glance and they would be helpful and informative to your questions. Dinner would be a delightfully private affair. Waiters didn't talk amongst themselves and miss your glance.Unfortunately, not any more.You sip from your glass and immediately a waiter comes over to refill your glass. If you tell them that you would rather pour your own  wine or water a diiferent waiter comes over to invade your privacy. There was one occasion where the waiter came over as I had the bottle in my hand and looked imploringly and in disbelieve as I continued to pour my own. An uncomfortable experience!Two other small errors in the experience. Everytime you give a menu order they say ""excellent choice"" and lastly the apple pie was accompanied by vanilla custard on the menu, it came with ice cream.Unlikely to go back. It has lost it's unique magic."
723;It was our first time at Wiltons.We booked the Restaurant while looking for a pre-theatre meal and Wiltons came recommended as a (mostly) Fish Restaurant. On arrival we were greeted and made to feel welcome. There's an old fashioned feel about the place which oozes service and quality. We were not disappointed.Taking the set menu we began with 6 Jersey Rock Oysters (me) and Brown Shrimps (my Wife) - good stuff! This was followed by Brill with Crabmeat - which was even better! The fish was cooked to perfection and complemented by Jersey New Potatoes. To finish I had Apple Crumble with Vanilla Ice cream,  again all was perfectly cooked. Accompanied by a bottle of Chablis (a bit pricey for a 2013  I thought, but the only thing I could find to grumble about) all in all it was an excellent meal and the next time we are in London, we'll certainly go again.
724;Wilton's is perfect or a special occasion. I took my parents for my Mum's birthday - the bellini with the Opentable deal was a splendid way to start. The food was outstanding and Mum thought the risotto was the best she had sampled - quite an accolade being a vegetarian! My leek and cheddar crumble was mouthwatering and passionfruit souffle had a delicious zing. The waiting staff were wonderfully courteous.
725;"The food was outstanding.  The cuisine is not modern but relies on ingredients of the highest quality .  Don't come if you are looking for the latest in complicated dishes with huge numbers of ingredients; do come if you are looking for the best.There were plenty of serving staff but there was the occasional lapse, with appropriate apologies.It is a very expensive restaurant but was worth the price for a special occasion.."
726;Wiltons is one of the classics - traditional atmosphere, superb service and lovely food.I've become a regular in recent years and can hardly fault it.Not cheap but then you get what you pay for.
727;We were treated like royalty from start to finish even though we were on the meal deal. They allowed us to share the starter and dessert, even serving it on separate plates. Wine was quite pricey but we found a lovely bottle of Sauvignon Blanc for £30. The cheese chariot was a sight to behold and waiters were very attentive. We will definitely be going back!
728;The offer on opentable made this restaurant affordable, though pricey I would be tempted to dine here again even without the offer. Most of the meals on the set menu were also on the main menu, which meant you were able to get a true reflection of the food normally served there. The cheese option was included in the set menu without any additional premium, and the selection of British cheeses was very good. The service was impeccable. This was British food served at its best in a charming environment. We had an enjoyable evening here and would definitely recommend it to others.
729;"A wonderful, well established restaurant; a great ambiance  with excellent food and service. A brilliant place for a birthday treat even better with the Open Table special offers. Will definately go again."
730;3 people, 2 courses each from spring set menu - mains & pudding. They charged us for the 2 courses set menu each plus £10 each for puddings, & of course the 12.5% service charge was for the overcharge as well. We learnt our lesson not to trust even the most established places. It was a very quiet Tuesday evening  no pressure on staff for mistakes, the carving trolley was off & we were offered beef instead of pork, this turned out to be steak, they didn't bother to tell us that when we ordered the beef from the spring menu. We over heard other regulars getting this info. The potatoes were lovely, the rest was just the rest. Nothing special.Overpriced even without the over charge.The Wolsley was way better food, service & value.Don't waste your money at the Wilton
731;We like Wilton`s very much, this was our second visit for lunch, loved the food, staff very good, butovervalued. Suggest the menu rather than the a la carte.
732;"I love the feeling I get when I walk into Wilton's – it is very formal , yet cozy, relaxed and the service is impeccable. The food is very high in standard  and I would take friends who are visiting as there is a very ""old English feel"" of the place which you don't get in most English restaurants in London. They have a great wine list and though the restaurant is pricey on the whole, it is great for a special occasion for sure!!"
733;Wilton's never disappoints. From the meet and greet to the moment one reluctantly retrieves one's coat,  the staff perform even the smallest tasks with supreme professionalism . The food may not be adventurous, but what they do, they do flawlessly , both in terms of taste and presentation. This restaurant is a joy to visit.. at least until the bill arrives!
734;Plush decor - yes of course they have tablecloths and no blackboards - and attentive and caring service, and simple faultless food and wonderful wine, in a calm respite from the world. Hoxton was never like this, and never will be. At a time when almost every restaurant is the same, Wiltons is now unique in London: a timeless classic.
735;We were made to feel very welcome and the food was very nice. However we felt that they didn't advise us very we'll on the portion sizes so we over ordered a little and the final bill was a little pricey.. Not sure it was worth £100 a head.
736;"and we heard ""I'll have what I always have"" and ""You'll no doubt have your usual?"" and the like several times. We are a ""mature"" couple but brought the average age down by, it felt, several decades. Very tightly packed tables - although not as tight as some more fashionable (and expensive) restaurants but we were disappointed that the carving trolley dish of the day was salmon. If you are booking for lunch you may want to check what will be on offer. Be warned, vegetables are not included in the set lunch although our choices did not require any additions. And some wines priced below £30  so not wallet-crushingly horrible but the chap next to us had a £300 claret with his Dover Sole which made me feel a bit of a cheapskate..."
737;The atmosphere was not relaxing at all and, from the beginning to the end, we didn't feel at ease ! Besides, the waiter didn't do his best to make us feel comfortable. We felt as if only wealthy people were welcome in this restaurant. For example, we chose simple soles but, pure coïncidence (?), there weren't left and we were compelled to order Dover soles that were far more expensive.We'll never come back in that tourist trap and we'll never advise anyone to go there !!!
738;No complaints about the food or the service but the prices are exaggerated. I have paid the same or less for better meals in restauarants in the Top 50 list, even in London. And the markup on the win must be above 4.
739;Our reservation was at 12.15. Efficiency and friendliness of the staff great as always. We were the first to be seated in the main room. The carvery was brought around - suckling pig with crackling. Fantastic, my favourite. I ordered this and was told the crackling had already finished (12.25 at this stage and just a few more guests in the restaurant- someone must have fallen asleep in the kitchen that morning!). Fortunately they were able to open a few bags of Pork Scratchings and put these on the side of my plate. While I'm not knocking the innovation, is this really an acceptable solution when this is one of the most expensive restaurants in London?  I'll forgive them because we all have amateur hours now and again.
740;A top notch restaurant. The service is unobtrusive but excellent, and the food is also excellent. On this occasion my guest thought his Dover sole was overdone. It wasn't tragic, but even so it was a little surprising that when the waiter was told (having asked how everything was) there was zero response. This rather irked my guest. Otherwise, I cannot fault the place.
741;Reliable if unexciting cooking. Service mostly good, sometimes a little inaccurate.
742;fantastic food, service and overall experiance. A real gem
743;On our second visit I was worried it wouldn't live up to the memories of our first... I'm pleased to say it surpassed them! Even on a set menu the food was incredible and service excellent. There was no different treatment because we didn't dine a la carte. The setting is beautiful and ambience buzzy. I'd definitely visit a third time!
744;"The service and ambience were impeccable. The oysters were a tad ""fishy"" and the house specialty carrot cake was terrible. The sole and halibut were excellent."
745;We came for lunch on the set lunch menu deal. Good food. Good service. A little disappointed they no longer had the carving table available at 1.15 given that there were just 3 main course choices on the set menu to begin with. But the replacement braised pig's cheeks were amazing. The mackeral salad was wonderful as was the rainbow trout with crushed potatoes. Would recommend.
746;Wilsons is in the same mold as Simpson's and Rules. Dark wood, plush seating with a substantial number of middle ages men having lunch on a rainy Monday. Food from the special menu was delicious and we were offered an excellent alternative to one course that was unavailable. We only had 2 courses as we were replete but also felt £8 for a pud was a tad expensive. Would definitely return
747;The service was great and all the staff were very friendly and knowledgeable. However we were not informed about the set menu only being available until a certain time, and we were told the carving trolley was not available, despite seeing it 5min before we ordered. The appetizers were good (oysters and steak tartar) However the mains were bland and massively overpriced £7 for carrots? really?.  No music plays in the restaurant which makes for a very oppressive atmosphere. £100 a head is not reasonable unless the food is amazing. The food is definitely not amazing. 2/10 for excellent coat checking simulator.
748;To help celebrate any occasion to be enjoyed in a relaxing atmosphere and would certainly have no hesitation in returning again to the restaurant.
749;I simply cannot fault Wilton’s, and my wife and I have been going there for many years, and it has never lost its edge or the quality dipped.  Everything is impeccable and also not pretentious.  Fantastic service (especially from the sommelier and the person serving from the roast trolley), and really, really good food.  A delight!
750;Traditional British restaurant with exceptional service, an extensive wine list and a pleasant ambience. The food successfully hits its mark as traditional British fare, with good quality ingredients and presentation. Perfect for a business lunch or family dinner.
751;We had the fixed price menu ( 2 courses £30/3 courses £38 incl glass of champagne ) Outstanding service and ambience . 3 choices per course and decent size portions. I did not love my fish dish , but it was well cooked, just didn't love it . Lovely people , lovely setting . I would recommend most definitely .
752;This is a place for people who like comfort, cossetting, and excellent food.  There is NO music!  Just mainly caring staff, a kitchen that knows about preparing food, and a good wine list.  This is a place to go when you want to spend time talking and enjoying, at the same time, good food.  It starts with excellent bread.  The menu is mainly fish.  We started with a plate of crab served with excellent mayonnaise and sprats perfectly fried and again served with excellent tartar sauce.  Then we had lemon sole and the special of the day which was baked halibut in pastry with mushrooms and rice.  Both perfectly cooked.  We had spinach, creamed celeriac, a fried potatoes.  The potatoes were the only disappointment--tasted and looked like frozen potatoes.  Cannot wait to go back!
753;I took a friend to Wiltons, who had not been in ages. The decor and atmosphere are timeless in the old English style. The tables are quite close to each other but not too crowded. The staff was really nice and attentive. We had a delicious dinner. My scallops were perfect but a bit on the tiny side. My main of Cheddar and leek crumble was incredible, as was my friend's Hake. And we had one of the best bread and butter pudding. Wine list is ok if you can spend a lot, not as good for more reasonable wines. Overall great experience but the bill was a bit much.
754;I have been to Wiltons now and then during a long time. Never been disappointed.Wiltons belongs to those restaurants that do not try to be a bit Italian or bit French.Wiltons is profoundly British and gives British food at its best!
755;I had never heard of Wiltons and was a little hesitant. However the food and service were fantastic, I will definitely be returning. They also do quite a few decent wines by the glass, which is great for those of us that like to mix and match with courses.
756;The food was out of this world, the wine list exemplary and the service was second to none.
757;A warm welcome heralded an evening that turned out to be something special. An interesting setting with a seasonal menu supported by a wide selection of superb wine was complimented by the quality of the produce, superb cooking and a friendly, attentive service. Our first visit, and hopefully not our last.
758;food not up to usual standard, service excellent as always. very disappointed that a diner was able to bring her dog into the restaurant. it sat on a bench seat and ate food off the table cloth!
759;Excellent food and service. A dinner thoroughly enjoyed by my wife and I. Well recommended. Will need to leave a little more space for the desert next time...
760;Love the atmosphere of a traditional London club,  service first class, menu varied,the plaice and sole were excellent, the roast of the day, lamb, was devoured with relish. Wine was reasonably priced and the sommelier very helpful. We have already decided to return and try other dishes from this very English restaurant.
761;Booked a 7:30 table for two to celebrate a birthday. We ate In one of the cute booths and were offered champagne immediately upon sitting. The staff was very helpful in guiding us through the menu and the sommelier made a truly wonderful wine recommendation. We never felt rushed, they seemed to only do one seating per night, which was nice. The cooked oysters were really amazing, even for someone from the U.S. Gulf Coast. A great, special meal! We had a dozen oysters, cheese soufflé, lobster bisque, Dover sole and the black currant soufflé for dessert with fresh mint tea. All excellent!
762;Just as a restaurant should be, quality food,Great staff, polite and attentive at all times.Well recommended.Would visit again whenever in london.
763;Me and my husband had a lovely evening at Wiltons.Good service and good food.
764;A little old school but exceptionally good food and excellent service. This is restaurant with atmosphere and gravitas. Expensive but worth it.
765;Wiltons has been open since the nineteenth century, and while I cannot vouch for their performance then, the food they serve now is a fine way to argue that Britons didn't learn how to eat yesterday. Simple dishes like kidneys and black pudding, but also more showpieces like Beef Wellington, are elaborately presented and taste good too. The set menu is more reasonably priced and not too boring, the oysters fresh, and the Christmas pudding is dissolved in brandy butter and syrup before one's eyes. The staff seems in a good mood, so the diner is also able to enjoy these flourishes. Not for every evening, but not just for a special evening either.
766;First time there and enjoyed the buzz the food probably not the cost but we got what we paid for so no grumbles
767;I've been to Wiltons before and I just love the ambiance and the great staff. The oysters are the best in London and we also had some breathtaking desserts but the main course was unfortunately not worth the price. We ate seabass and halibut and it was good but nothing more or less.
768;Great corner table away from the to-ing and fro-ing you get at some tables in any restaurant.  Had the set lunch - smoked salmon, beef, coffee and petit-fours and it was good.  Will be back!  Older crowd perhaps but nothing wrong with that when you are a pensioner.
769;Once again, a great dinner at Wilton's. Everything was perfect and the service was impeccable.
770;What a marvellous experience.  From the minute we walked through the door we were made to feel special.  Our food order was taken before we were presented with the wine list so we could make an informed choice.  The service was excellent and the food delicious.
771;Wiltons is by far my favourite restaurant. From the friendly welcome to the outstanding food and impeccable ambiance and service my guests and I have always been delighted with Wiltons. After being a devotee for more than twenty years, Wiltons is firmly established in my very short list of outstanding restaurants.
772;excellent service and food, great surroundings, almost faultless
773;Wiltons is a lovely, if very expensive, restaurant and I've always enjoyed going there for special occasions. The fish dishes do not disappoint: my grilled Dover sole was perfect. But other dishes (especially the veg) were overly salted - to the point of being nearly inedible. The service was a bit rushed. At these prices, a stately pace is called for and one shouldn't feel they are trying to turn over the table! The bill was staggering (£280 for 2 people) and so they need to get everything right.
774;The food is basic but perfectly cooked.  The service is courteous.  The ambiance is satisfactorily old-fashioned.  It's not cheap, but I've paid much more for much less good.
775;Very good meal indeed. Classic British cooking - lots of favourite's on the menu.
